,song,artist,peak,seasons,id,features
51,Have Mercy,Chloe,28,{'fall'},5SixeLvPsYpk7qq9lo5xYg,"{'danceability': 0.903, 'energy': 0.535, 'speechiness': 0.0742, 'instrumentalness': 0, 'tempo': 130.022, 'valence': 0.508}"
52,Fair Trade,Drake Featuring Travis Scott,3,{'fall'},5uA5D9o5jGFuITTw3aXQgB,"{'danceability': 0.659, 'energy': 0.465, 'speechiness': 0.252, 'instrumentalness': 0, 'tempo': 167.959, 'valence': 0.275}"
53,Same Boat,Zac Brown Band,53,{'fall'},4HD9SLK4s9rwRyuFt3n8N7,"{'danceability': 0.486, 'energy': 0.838, 'speechiness': 0.0617, 'instrumentalness': 0, 'tempo': 171.963, 'valence': 0.664}"
54,My Boy,Elvie Shane,28,{'fall'},47fyYjbsfq48e3fUys4Xaa,"{'danceability': 0.686, 'energy': 0.566, 'speechiness': 0.0423, 'instrumentalness': 0, 'tempo': 146.042, 'valence': 0.542}"
55,Hurricane,Kanye West,6,{'fall'},6Hfu9sc7jvv6coyy2LlzBF,"{'danceability': 0.587, 'energy': 0.561, 'speechiness': 0.146, 'instrumentalness': 0, 'tempo': 80.009, 'valence': 0.351}"
56,Chosen,Blxst & Tyga Featuring Ty Dolla $ign,56,{'fall'},1dIWPXMX4kRHj6Dt2DStUQ,"{'danceability': 0.571, 'energy': 0.767, 'speechiness': 0.287, 'instrumentalness': 0, 'tempo': 93.421, 'valence': 0.605}"
57,Baddest,"Yung Bleu, Chris Brown & 2 Chainz",56,{'fall'},2CDVqsGGkf2v1tMETt3fq5,"{'danceability': 0.712, 'energy': 0.703, 'speechiness': 0.199, 'instrumentalness': 0, 'tempo': 89.024, 'valence': 0.452}"
58,Knowing You,Kenny Chesney,58,{'fall'},2EEfUuBRZA4Ax1vYcluFS0,"{'danceability': 0.557, 'energy': 0.565, 'speechiness': 0.026, 'instrumentalness': 3.9e-06, 'tempo': 125.956, 'valence': 0.187}"
59,Memory,Kane Brown X blackbear,50,{'summer'},4XZ8YGsNIF4UqE324Mbgfg,"{'danceability': 0.618, 'energy': 0.808, 'speechiness': 0.0625, 'instrumentalness': 2.31e-06, 'tempo': 100.037, 'valence': 0.49}"
60,Cold Beer Calling My Name,Jameson Rodgers Featuring Luke Combs,26,{'fall'},67wUHsoXdZ8UOLt6rodpQ9,"{'danceability': 0.585, 'energy': 0.863, 'speechiness': 0.0401, 'instrumentalness': 0, 'tempo': 147.931, 'valence': 0.788}"
61,Not In The Mood,"Lil Tjay, Fivio Foreign & Kay Flock",61,{'fall'},25GyyK9CyZRiDCsPY51fIT,"{'danceability': 0.545, 'energy': 0.82, 'speechiness': 0.275, 'instrumentalness': 0, 'tempo': 141.908, 'valence': 0.357}"
62,Pissed Me Off,Lil Durk,39,{'fall'},52nTQQahs46s1iHFQ3Wv5Q,"{'danceability': 0.723, 'energy': 0.516, 'speechiness': 0.485, 'instrumentalness': 1.26e-06, 'tempo': 155.967, 'valence': 0.223}"
63,Woman,Doja Cat,62,{'fall'},6Uj1ctrBOjOas8xZXGqKk4,"{'danceability': 0.824, 'energy': 0.764, 'speechiness': 0.0854, 'instrumentalness': 0.00294, 'tempo': 107.998, 'valence': 0.881}"
64,Sand In My Boots,Morgan Wallen,32,{'winter'},0uRrG2jRR5tuifsYIJHEao,"{'danceability': 0.403, 'energy': 0.537, 'speechiness': 0.031, 'instrumentalness': 0, 'tempo': 69.877, 'valence': 0.414}"
65,'Til You Can't,Cody Johnson,65,{'fall'},4k3lPl8YTKuY8c1HelVnm3,"{'danceability': 0.501, 'energy': 0.815, 'speechiness': 0.0436, 'instrumentalness': 0, 'tempo': 160.087, 'valence': 0.46}"
66,Love Again,Dua Lipa,41,{'fall'},3sAARUAOane1UqeYkAd7Be,"{'danceability': 0.659, 'energy': 0.667, 'speechiness': 0.0339, 'instrumentalness': 2.85e-05, 'tempo': 115.982, 'valence': 0.468}"
67,Whiskey And Rain,Michael Ray,67,{'fall'},1tf4Bfk8JIKryLpWYRvyiI,"{'danceability': 0.653, 'energy': 0.623, 'speechiness': 0.0244, 'instrumentalness': 3.32e-06, 'tempo': 100.021, 'valence': 0.718}"
68,One Mississippi,Kane Brown,68,{'fall'},4FdPnT2cFrpWCmWZd7GXc3,"{'danceability': 0.471, 'energy': 0.846, 'speechiness': 0.0389, 'instrumentalness': 2.86e-06, 'tempo': 100.089, 'valence': 0.539}"
69,Switches & Dracs,Moneybagg Yo Featuring Lil Durk & EST Gee,69,{'fall'},4c7LkE1lSNj3RR4cZo0jEi,"{'danceability': 0.772, 'energy': 0.563, 'speechiness': 0.452, 'instrumentalness': 0, 'tempo': 160.064, 'valence': 0.521}"
70,Jugaste y Sufri,Eslabon Armado Featuring DannyLux,69,{'fall'},3NqBxTOMCJ3zW9CIP51td4,"{'danceability': 0.39, 'energy': 0.499, 'speechiness': 0.0381, 'instrumentalness': 0.000497, 'tempo': 200.156, 'valence': 0.34}"
71,Too Easy,Gunna & Future,38,{'fall'},3A3S5pdCJdePtJ0oKeCrCP,"{'danceability': 0.784, 'energy': 0.601, 'speechiness': 0.118, 'instrumentalness': 0, 'tempo': 156.0, 'valence': 0.22}"
72,Esta Danada,Ivan Cornejo,61,{'fall'},6G2xXQRSZlEzYsUEb3uvuR,"{'danceability': 0.405, 'energy': 0.565, 'speechiness': 0.0372, 'instrumentalness': 0.0195, 'tempo': 159.892, 'valence': 0.166}"
73,Volvi,Aventura x Bad Bunny,22,{'summer'},2vmfvSoZBFAt9hhRoEByLi,"{'danceability': 0.725, 'energy': 0.86, 'speechiness': 0.182, 'instrumentalness': 0.000284, 'tempo': 175.896, 'valence': 0.791}"
74,Tequila Little Time,Jon Pardi,74,{'fall'},15npbUjCgwt2lRvyrJvyxw,"{'danceability': 0.757, 'energy': 0.705, 'speechiness': 0.0252, 'instrumentalness': 5.8e-06, 'tempo': 104.972, 'valence': 0.855}"
75,Whole Lotta Money,BIA Featuring Nicki Minaj,16,{'summer'},67G6iaOw8DZqp1z8STR89R,"{'danceability': 0.893, 'energy': 0.463, 'speechiness': 0.36, 'instrumentalness': 0, 'tempo': 81.026, 'valence': 0.591}"
76,2055,Sleepy Hallow,51,"{'summer', 'fall'}",4XvcHTUfIlWfyJTRG0aqlo,"{'danceability': 0.829, 'energy': 0.512, 'speechiness': 0.187, 'instrumentalness': 0, 'tempo': 80.511, 'valence': 0.638}"
77,Maybach,42 Dugg Featuring Future,68,{'summer'},2Qt8qG9SWPdtRiaWcPNJRm,"{'danceability': 0.735, 'energy': 0.446, 'speechiness': 0.109, 'instrumentalness': 1.93e-05, 'tempo': 150.915, 'valence': 0.121}"
78,WFM,Realestk,67,{'fall'},1DNA2z7Txysjk3cNz2nDLm,"{'danceability': 0.437, 'energy': 0.184, 'speechiness': 0.0313, 'instrumentalness': 0.00253, 'tempo': 80.088, 'valence': 0.247}"
